1,group1,group2,meandiff,p-adj,lower,upper,reject,Cohen's d,Mean,SD,SE
1,0,4,0.3158,0.1654,-0.0933,0.725,FALSE,Small (0.3),4.0431,1.0077,0.0936
1,2,4,-0.0204,0.9,-0.3624,0.3216,FALSE,Very Small (-0.02),4.0227,1.0055,0.1072
1,c_outc_listSatAvg,-,-,-,-,-,-,-,-,-,-
1,0,2,0.3483,0.0152,0.055,0.6416,TRUE,Small (0.44),3.5897,0.7862,0.1032
1,0,4,0.4444,0.0023,0.136,0.7529,TRUE,Medium (0.59),3.9379,0.8045,0.0747
1,2,4,0.0962,0.6414,-0.1617,0.354,FALSE,Very Small (0.13),4.0341,0.7222,0.077
1,q_outc_diversity,-,-,-,-,-,-,-,-,-,-
1,0,2,-0.0517,0.9,-0.4006,0.2971,FALSE,Very Small (-0.06),3.8276,0.8813,0.1157
1,0,4,0.0588,0.9,-0.3081,0.4257,FALSE,Very Small (0.07),3.7759,0.9699,0.09
1,2,4,0.1105,0.6583,-0.1962,0.4172,FALSE,Very Small (0.12),3.8864,0.8767,0.0935
1,q_outc_novelty,-,-,-,-,-,-,-,-,-,-
1,0,2,0.0862,0.8609,-0.324,0.4965,FALSE,Very Small (0.08),3.6897,1.1115,0.1459
1,0,4,0.2535,0.351,-0.1779,0.685,FALSE,Small (0.23),3.7759,1.0882,0.101
1,2,4,0.1673,0.5186,-0.1933,0.528,FALSE,Very Small (0.16),3.9432,1.0544,0.1124
1,q_outc_serendipity,-,-,-,-,-,-,-,-,-,-
1,0,2,0.3362,0.1106,-0.057,0.7294,FALSE,Small (0.31),3.3276,1.1143,0.1463
1,0,4,0.4338,0.0373,0.0202,0.8473,TRUE,Small (0.42),3.6638,1.079,0.1002
1,2,4,0.0976,0.7636,-0.2481,0.4432,FALSE,Very Small (0.1),3.7614,0.9222,0.0983
1,q_outc_relevance,-,-,-,-,-,-,-,-,-,-
1,0,2,0.2241,0.4601,-0.2187,0.6669,FALSE,Very Small (0.19),3.069,1.106,0.1452
1,0,4,0.4992,0.0323,0.0335,0.9649,TRUE,Small (0.46),3.2931,1.2581,0.1168
1,2,4,0.2751,0.2206,-0.1142,0.6643,FALSE,Small (0.23),3.5682,1.0806,0.1152
1,q_proc_searchSim,-,-,-,-,-,-,-,-,-,-
1,0,2,0.0862,0.9,-0.4118,0.5842,FALSE,Very Small (0.06),2.3966,1.3757,0.1806
1,0,4,0.1034,0.8779,-0.4203,0.6271,FALSE,Very Small (0.08),2.4828,1.2819,0.119
1,2,4,0.0172,0.9,-0.4205,0.455,FALSE,Very Small (0.01),2.5,1.3131,0.14
1,q_proc_decidDiff,-,-,-,-,-,-,-,-,-,-
1,0,2,-0.0345,0.9,-0.5288,0.4599,FALSE,Very Small (-0.03),2.7759,1.2984,0.1705
1,0,4,-0.1281,0.8119,-0.648,0.3918,FALSE,Very Small (-0.1),2.7414,1.3063,0.1213
1,2,4,-0.0937,0.8537,-0.5282,0.3409,FALSE,Very Small (-0.07),2.6477,1.3046,0.1391
1,q_proc_recImprove,-,-,-,-,-,-,-,-,-,-
1,0,2,0.2586,0.3188,-0.1626,0.6798,FALSE,Small (0.23),3.0172,1.084,0.1423
1,0,4,0.5509,0.0102,0.1079,0.9939,TRUE,Medium (0.53),3.2759,1.2057,0.1119
1,2,4,0.2923,0.1523,-0.078,0.6626,FALSE,Small (0.26),3.5682,0.9919,0.1057
1,q_proc_control,-,-,-,-,-,-,-,-,-,-
1,0,2,0.1379,0.7201,-0.3006,0.5764,FALSE,Very Small (0.12),3.069,1.0063,0.1321
1,0,4,0.5901,0.0079,0.1289,1.0513,TRUE,Medium (0.55),3.2069,1.2477,0.1158
1,2,4,0.4522,0.0167,0.0667,0.8377,TRUE,Small (0.38),3.6591,1.1233,0.1197
1,q_proc_sorting,-,-,-,-,-,-,-,-,-,-
1,0,2,0.25,0.3518,-0.1759,0.6759,FALSE,Small (0.22),3.2241,1.1704,0.1537
1,0,4,0.4918,0.0274,0.0438,0.9397,TRUE,Small (0.43),3.4741,1.0912,0.1013
1,2,4,0.2418,0.2826,-0.1326,0.6162,FALSE,Small (0.22),3.7159,1.1341,0.1209
1,c_ageGroup,-,-,-,-,-,-,-,-,-,-
1,0,2,-0.0603,0.9,-0.4497,0.329,FALSE,Very Small (-0.06),2.8966,1.0872,0.1428
1,0,4,-0.1806,0.5493,-0.5901,0.2288,FALSE,Very Small (-0.17),2.8362,0.9505,0.0882
1,2,4,-0.1203,0.6703,-0.4625,0.222,FALSE,Very Small (-0.12),2.7159,1.0822,0.1154
1,q_dem_onlineUsage,-,-,-,-,-,-,-,-,-,-
1,0,2,-0.5862,0.001,-0.8209,-0.3515,TRUE,Large (-0.83),2.2241,0.8795,0.1155
1,0,4,-0.8605,0.001,-1.1073,-0.6137,TRUE,Large (-1.16),1.6379,0.4827,0.0448
1,2,4,-0.2743,0.0054,-0.4806,-0.068,TRUE,Medium (-0.52),1.3636,0.571,0.0609
1,c_dem_genderCat,-,-,-,-,-,-,-,-,-,-
1,0,2,-0.0603,0.7313,-0.2574,0.1367,FALSE,Very Small (-0.11),1.5517,0.5673,0.0745
1,0,4,0.0733,0.6674,-0.1339,0.2805,FALSE,Very Small (0.14),1.4914,0.5021,0.0466
1,2,4,0.1336,0.1657,-0.0396,0.3068,FALSE,Small (0.26),1.625,0.51,0.0544
1,c_All_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,0,2,0.431,0.9,-4.4179,5.28,FALSE,Very Small (0.03),22.6552,12.1836,1.5998
1,0,4,1.3903,0.7766,-3.7093,6.4899,FALSE,Very Small (0.11),23.0862,12.9061,1.1983
1,2,4,0.9592,0.8408,-3.3032,5.2217,FALSE,Very Small (0.07),24.0455,13.0224,1.3882
1,c_Title_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,0,2,-0.5603,0.9,-5.1291,4.0084,FALSE,Very Small (-0.05),26.8448,12.4644,1.6367
1,0,4,-1.7198,0.6616,-6.5247,3.0851,FALSE,Very Small (-0.14),26.2845,12.1625,1.1293
1,2,4,-1.1595,0.7549,-5.1756,2.8567,FALSE,Very Small (-0.1),25.125,11.6202,1.2387
1,c_Image_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,0,2,-0.25,0.9,-5.0978,4.5978,FALSE,Very Small (-0.02),28,12.2789,1.6123
1,0,4,-2.7841,0.4052,-7.8825,2.3143,FALSE,Small (-0.22),27.75,12.9956,1.2066
1,2,4,-2.5341,0.3422,-6.7956,1.7274,FALSE,Very Small (-0.2),25.2159,12.8362,1.3683
1,c_Plot_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,0,2,0.8621,0.8926,-3.7565,5.4806,FALSE,Very Small (0.07),24.0862,12.496,1.6408
1,0,4,0.0388,0.9,-4.8185,4.8961,FALSE,None (0.0),24.9483,11.868,1.1019
1,2,4,-0.8233,0.8708,-4.8832,3.2367,FALSE,Very Small (-0.07),24.125,12.3835,1.3201
1,c_Genre_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,0,2,1.8362,0.6331,-3.0078,6.6802,FALSE,Very Small (0.15),22.2586,10.6203,1.3945
1,0,4,4.4118,0.1045,-0.6826,9.5063,FALSE,Small (0.36),24.0948,13.2192,1.2274
1,2,4,2.5756,0.3296,-1.6825,6.8338,FALSE,Very Small (0.19),26.6705,13.4589,1.4347
1,c_Stars_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,0,2,-3.9397,0.1161,-8.5996,0.7202,FALSE,Small (-0.32),28.8793,12.3133,1.6168
1,0,4,-4.6748,0.0652,-9.5756,0.226,FALSE,Small (-0.38),24.9397,12.2725,1.1395
1,2,4,-0.7351,0.9,-4.8314,3.3612,FALSE,Very Small (-0.06),24.2045,12.3028,1.3115
1,c_Director_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,0,2,1.6207,0.6977,-3.2733,6.5147,FALSE,Very Small (0.13),21.5345,12.465,1.6367
1,0,4,4.8178,0.072,-0.3292,9.9648,FALSE,Small (0.37),23.1552,12.7324,1.1822
1,2,4,3.1971,0.1882,-1.105,7.4992,FALSE,Small (0.24),26.3523,13.4173,1.4303
1,c_Date_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,0,2,0.9914,0.8675,-3.8392,5.822,FALSE,Very Small (0.08),27.4483,12.3177,1.6174
1,0,4,0.2108,0.9,-4.8695,5.2911,FALSE,Very Small (0.02),28.4397,12.5742,1.1675
1,2,4,-0.7806,0.8964,-5.0269,3.4658,FALSE,Very Small (-0.06),27.6591,13.2265,1.4099
1,c_Tag_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,0,2,1.25,0.8295,-4.1058,6.6058,FALSE,Very Small (0.09),21.3103,14.5267,1.9074
1,0,4,0.0419,0.9,-5.5907,5.6746,FALSE,None (0.0),22.5603,14.3274,1.3303
1,2,4,-1.2081,0.7982,-5.9161,3.4999,FALSE,Very Small (-0.09),21.3523,13.585,1.4482
1,c_SVD_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,0,2,-1.319,0.7938,-6.3937,3.7558,FALSE,Very Small (-0.09),23.931,15.0028,1.97
1,0,4,-0.2379,0.9,-5.5749,5.0992,FALSE,Very Small (-0.02),22.6121,12.923,1.1999
1,2,4,1.0811,0.8175,-3.3798,5.542,FALSE,Very Small (0.08),23.6932,12.8532,1.3702
1,c_Baseline_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,0,2,-0.9224,0.8869,-5.7553,3.9104,FALSE,Very Small (-0.07),28.0517,13.279,1.7436
1,0,4,-1.4949,0.7476,-6.5776,3.5878,FALSE,Very Small (-0.11),27.1293,12.2521,1.1376
1,2,4,-0.5725,0.9,-4.8208,3.6758,FALSE,Very Small (-0.05),26.5568,13.0321,1.3892
1,c_All_Picked,-,-,-,-,-,-,-,-,-,-
1,0,2,-0.069,0.8823,-0.424,0.286,FALSE,Very Small (-0.07),0.569,1.0107,0.1327
1,0,4,-0.0349,0.9,-0.4082,0.3385,FALSE,Very Small (-0.04),0.5,0.8896,0.0826
1,2,4,0.0341,0.9,-0.278,0.3462,FALSE,Very Small (0.04),0.5341,0.9462,0.1009
1,c_Title_Picked,-,-,-,-,-,-,-,-,-,-
1,0,2,0.0172,0.9,-0.2566,0.2911,FALSE,Very Small (0.02),0.2414,0.7329,0.0962
