1,group1,group2,meandiff,p-adj,lower,upper,reject,Cohen's d,Mean,SD,SE
1,0,2,0.4037,0.9,-4.5307,5.338,FALSE,Very Small (0.03),22.6271,12.08,1.5727
1,0,4,3.3278,0.2706,-1.7366,8.3923,FALSE,Small (0.25),23.0308,13.3172,1.168
1,2,4,2.9242,0.2088,-1.1381,6.9865,FALSE,Small (0.21),25.955,13.9944,1.3283
1,c_Title_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,0,2,-1.1858,0.7954,-5.7671,3.3955,FALSE,Very Small (-0.1),26.7627,12.3726,1.6108
1,0,4,-1.8978,0.6003,-6.5999,2.8042,FALSE,Very Small (-0.15),25.5769,12.3808,1.0859
1,2,4,-0.7121,0.8898,-4.4837,3.0596,FALSE,Very Small (-0.06),24.8649,12.4078,1.1777
1,c_Image_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,0,2,-0.1924,0.9,-5.0122,4.6273,FALSE,Very Small (-0.02),28.0847,12.19,1.587
1,0,4,-2.2199,0.5395,-7.1667,2.7269,FALSE,Very Small (-0.17),27.8923,13.2397,1.1612
1,2,4,-2.0274,0.4538,-5.9954,1.9405,FALSE,Very Small (-0.15),25.8649,13.2202,1.2548
1,c_Plot_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,0,2,1.2274,0.7812,-3.3291,5.7839,FALSE,Very Small (0.1),24.2034,12.4205,1.617
1,0,4,-0.4647,0.9,-5.1413,4.212,FALSE,Very Small (-0.04),25.4308,12.0303,1.0551
1,2,4,-1.692,0.5364,-5.4432,2.0592,FALSE,Very Small (-0.14),23.7387,12.605,1.1964
1,c_Genre_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,0,2,1.6937,0.6656,-3.0751,6.4626,FALSE,Very Small (0.14),22.0678,10.6299,1.3839
1,0,4,3.68,0.1813,-1.2146,8.5745,FALSE,Small (0.3),23.7615,13.2424,1.1614
1,2,4,1.9862,0.4608,-1.9398,5.9122,FALSE,Very Small (0.15),25.7477,13.5583,1.2869
1,c_Stars_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,0,2,-4.6091,0.0507,-9.2299,0.0117,FALSE,Small (-0.37),28.9322,12.2134,1.5901
1,0,4,-4.5358,0.0643,-9.2784,0.2068,FALSE,Small (-0.37),24.3231,12.5409,1.0999
1,2,4,0.0733,0.9,-3.7308,3.8775,FALSE,None (0.01),24.3964,12.5902,1.195
