group1,group2,meandiff,p-adj,lower,upper,reject,Cohen's d,Mean,SD,SE
1,3,-0.03,0.9,-0.4773,0.4173,False,Very Small (-0.02),2.76,1.319,0.1319
2,3,-0.21,0.5115,-0.6573,0.2373,False,Very Small (-0.16),2.55,1.3734,0.1373
q_proc_decidDiff,-,-,-,-,-,-,-,-,-,-
1,2,0.0,0.9,-0.4421,0.4421,False,None (0.0),2.86,1.2872,0.1287
1,3,0.04,0.9,-0.4021,0.4821,False,Very Small (0.03),2.86,1.3028,0.1303
2,3,0.04,0.9,-0.4021,0.4821,False,Very Small (0.03),2.9,1.389,0.1389
q_proc_recImprove,-,-,-,-,-,-,-,-,-,-
1,2,-0.14,0.6258,-0.5039,0.2239,False,Very Small (-0.12),3.43,1.0372,0.1037
1,3,-0.06,0.9,-0.4239,0.3039,False,Very Small (-0.06),3.29,1.2085,0.1209
2,3,0.08,0.848,-0.2839,0.4439,False,Very Small (0.07),3.37,1.0215,0.1022
q_proc_control,-,-,-,-,-,-,-,-,-,-
1,2,-0.27,0.2244,-0.6541,0.1141,False,Small (-0.24),3.49,1.1146,0.1115
1,3,-0.04,0.9,-0.4241,0.3441,False,Very Small (-0.04),3.22,1.1771,0.1177
2,3,0.23,0.3375,-0.1541,0.6141,False,Very Small (0.2),3.45,1.1667,0.1167
q_proc_sorting,-,-,-,-,-,-,-,-,-,-
1,2,-0.25,0.2452,-0.6168,0.1168,False,Small (-0.24),3.71,0.9878,0.0988
1,3,-0.27,0.1945,-0.6368,0.0968,False,Small (-0.25),3.46,1.1048,0.1105
2,3,-0.02,0.9,-0.3868,0.3468,False,Very Small (-0.02),3.44,1.2003,0.12
q_dem_movieUsage,-,-,-,-,-,-,-,-,-,-
1,2,0.0,0.9,-0.6131,0.6131,False,None (0.0),2.52,1.8775,0.1877
1,3,0.2,0.7046,-0.4131,0.8131,False,Very Small (0.11),2.52,1.7436,0.1744
2,3,0.2,0.7046,-0.4131,0.8131,False,Very Small (0.11),2.72,1.8967,0.1897
q_dem_onlineUsage,-,-,-,-,-,-,-,-,-,-
1,2,-0.02,0.9,-0.2454,0.2054,False,Very Small (-0.03),1.69,0.662,0.0662
1,3,-0.03,0.9,-0.2554,0.1954,False,Very Small (-0.04),1.67,0.6675,0.0667
2,3,-0.01,0.9,-0.2354,0.2154,False,Very Small (-0.01),1.66,0.6995,0.0699
c_ageGroup,-,-,-,-,-,-,-,-,-,-
1,2,0.12,0.6653,-0.2177,0.4577,False,Very Small (0.12),2.78,1.0008,0.1001
1,3,-0.08,0.825,-0.4177,0.2577,False,Very Small (-0.08),2.9,1.0684,0.1068
2,3,-0.2,0.3455,-0.5377,0.1377,False,Very Small (-0.2),2.7,0.9692,0.0969
c_dem_genderCat,-,-,-,-,-,-,-,-,-,-
1,2,-0.09,0.439,-0.2625,0.0825,False,Very Small (-0.17),1.61,0.5298,0.053
1,3,-0.08,0.5193,-0.2525,0.0925,False,Very Small (-0.15),1.52,0.5021,0.0502
2,3,0.01,0.9,-0.1625,0.1825,False,Very Small (0.02),1.53,0.5214,0.0521
c_All_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,2,-4.54,0.0383,-8.8866,-0.1934,True,Small (-0.4),24.5,7.3078,0.7308
1,3,3.14,0.2064,-1.2066,7.4866,False,Small (0.25),19.96,14.0941,1.4094
2,3,7.68,0.001,3.3334,12.0266,True,Medium (0.51),27.64,16.0828,1.6083
c_Title_IndexAvg,-,-,-,-,-,-,-,-,-,-
1,2,-2.55,0.3104,-6.6532,1.5532,False,Small (-0.24),27.58,6.6015,0.6601
1,3,-3.55,0.105,-7.6532,0.5532,False,Small (-0.3),25.03,13.3109,1.3311
2,3,-1.0,0.8158,-5.1032,3.1032,False,Very Small (-0.07),24.03,15.3086,1.5309
c_Image_IndexAvg,-,-,-,-,-,-,-,-,-,-
