group1,group2,meandiff,p-adj,lower,upper,reject,Cohen's d,Mean,SD,SE
1,3,0.0439,0.9,-0.2834,0.3711,False,Very Small (0.05),3.6477,0.9713,0.1035
2,3,0.2898,0.1013,-0.0426,0.6221,False,Small (0.31),3.9375,0.8908,0.0996
q_outc_novelty,-,-,-,-,-,-,-,-,-,-
1,2,-0.089,0.8283,-0.4687,0.2908,False,Very Small (-0.08),3.8617,1.0118,0.1044
1,3,-0.0617,0.9,-0.4511,0.3277,False,Very Small (-0.06),3.7727,1.152,0.1228
2,3,0.0273,0.9,-0.3682,0.4228,False,Very Small (0.02),3.8,1.0954,0.1225
q_outc_serendipity,-,-,-,-,-,-,-,-,-,-
1,2,-0.0474,0.9,-0.4145,0.3197,False,Very Small (-0.05),3.6383,1.056,0.1089
1,3,-0.0008,0.9,-0.3773,0.3757,False,None (-0.0),3.5909,1.013,0.108
2,3,0.0466,0.9,-0.3357,0.4289,False,Very Small (0.04),3.6375,1.082,0.121
q_outc_relevance,-,-,-,-,-,-,-,-,-,-
1,2,-0.0131,0.9,-0.4263,0.4002,False,Very Small (-0.01),3.3085,1.1362,0.1172
1,3,0.104,0.8134,-0.3198,0.5278,False,Very Small (0.09),3.2955,1.2145,0.1295
2,3,0.117,0.7775,-0.3133,0.5474,False,Very Small (0.1),3.4125,1.198,0.1339
q_proc_searchSim,-,-,-,-,-,-,-,-,-,-
1,2,0.1243,0.7777,-0.3329,0.5815,False,Very Small (0.1),2.4894,1.3177,0.1359
1,3,-0.2019,0.5637,-0.6707,0.267,False,Very Small (-0.15),2.6136,1.2634,0.1347
2,3,-0.3261,0.2415,-0.8023,0.15,False,Small (-0.25),2.2875,1.3425,0.1501
q_proc_decidDiff,-,-,-,-,-,-,-,-,-,-
1,2,-0.082,0.9,-0.5376,0.3737,False,Very Small (-0.06),2.7979,1.2833,0.1324
1,3,-0.1729,0.6454,-0.6402,0.2944,False,Very Small (-0.13),2.7159,1.2771,0.1361
2,3,-0.0909,0.8859,-0.5655,0.3836,False,Very Small (-0.07),2.625,1.3536,0.1513
q_proc_recImprove,-,-,-,-,-,-,-,-,-,-
1,2,-0.1535,0.6192,-0.5478,0.2408,False,Very Small (-0.13),3.4149,1.0515,0.1085
1,3,-0.1524,0.636,-0.5567,0.2519,False,Very Small (-0.14),3.2614,1.2364,0.1318
2,3,0.0011,0.9,-0.4095,0.4118,False,None (0.0),3.2625,1.0878,0.1216
q_proc_control,-,-,-,-,-,-,-,-,-,-
1,2,-0.331,0.1404,-0.7414,0.0794,False,Small (-0.28),3.4787,1.1238,0.1159
