group1,group2,meandiff,p-adj,lower,upper,reject,Cohen's d,Mean,SD,SE
4,5,0.2809,0.2199,-0.1174,0.6791,FALSE,Small (0.35),3.7191,0.8684,0.1267
,,,,,,,,,,
4,6,0.144,0.6673,-0.2652,0.5532,FALSE,Very Small (0.18),4,0.7391,0.1141
,,,,,,,,,,
5,6,-0.1368,0.7027,-0.5568,0.2831,FALSE,Very Small (-0.18),3.8632,0.7427,0.1205
,,,,,,,,,,
q_outc_diversity,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,-0.266,0.34,-0.7137,0.1818,FALSE,Small (-0.3),3.766,0.7861,0.1147
,,,,,,,,,,
4,6,0.0761,0.9,-0.3839,0.5362,FALSE,Very Small (0.09),3.5,0.9939,0.1534
,,,,,,,,,,
5,6,0.3421,0.2024,-0.13,0.8142,FALSE,Small (0.36),3.8421,0.8861,0.1437
,,,,,,,,,,
q_outc_novelty,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,-0.0066,0.9,-0.5614,0.5482,FALSE,None (-0.01),3.7447,1.0727,0.1565
,,,,,,,,,,
4,6,-0.0078,0.9,-0.5779,0.5622,FALSE,None (-0.01),3.7381,1.1699,0.1805
,,,,,,,,,,
5,6,-0.0013,0.9,-0.5863,0.5838,FALSE,None (-0.0),3.7368,1.0574,0.1715
,,,,,,,,,,
q_outc_serendipity,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,0.1672,0.7221,-0.3694,0.7037,FALSE,Very Small (0.16),3.4043,1.0142,0.1479
,,,,,,,,,,
4,6,0.201,0.6501,-0.3503,0.7523,FALSE,Very Small (0.19),3.5714,1.0393,0.1604
,,,,,,,,,,
5,6,0.0338,0.9,-0.5319,0.5996,FALSE,Very Small (0.03),3.6053,1.1517,0.1868
,,,,,,,,,,
q_outc_relevance,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,0.2082,0.6585,-0.3726,0.789,FALSE,Very Small (0.18),3.1489,1.0421,0.152
,,,,,,,,,,
4,6,0.2721,0.5263,-0.3246,0.8689,FALSE,Small (0.24),3.3571,1.2061,0.1861
,,,,,,,,,,
5,6,0.0639,0.9,-0.5485,0.6763,FALSE,Very Small (0.05),3.4211,1.2221,0.1983
,,,,,,,,,,
q_proc_searchSim,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,-0.0704,0.9,-0.7397,0.5988,FALSE,Very Small (-0.05),2.8085,1.3616,0.1986
,,,,,,,,,,
4,6,-0.3348,0.4837,-1.0224,0.3528,FALSE,Small (-0.25),2.7381,1.2506,0.193
,,,,,,,,,,
5,6,-0.2644,0.6365,-0.9701,0.4412,FALSE,Small (-0.2),2.4737,1.3703,0.2223
,,,,,,,,,,
q_proc_decidDiff,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
4,5,-0.3784,0.3525,-1.0264,0.2696,FALSE,Small (-0.31),3.0213,1.2067,0.176
,,,,,,,,,,
4,6,-0.3634,0.4023,-1.0291,0.3024,FALSE,Small (-0.27),2.6429,1.2262,0.1892
,,,,,,,,,,
5,6,0.015,0.9,-0.6682,0.6983,FALSE,Very Small (0.01),2.6579,1.4384,0.2333
,,,,,,,,,,
