group1,group2,meandiff,p-adj,lower,upper,reject,Cohen's d,Mean,SD,SE
4,6,0.16,0.8866,-0.68,1.0,False,Very Small (0.09),2.28,1.7148,0.2425
5,6,0.44,0.4332,-0.4,1.28,False,Small (0.25),2.72,1.7501,0.2475
q_dem_onlineUsage,-,-,-,-,-,-,-,-,-,-
4,5,0.08,0.8137,-0.2474,0.4074,False,Very Small (0.11),1.72,0.7835,0.1108
4,6,-0.14,0.5656,-0.4674,0.1874,False,Small (-0.21),1.8,0.7284,0.103
5,6,-0.22,0.253,-0.5474,0.1074,False,Small (-0.34),1.58,0.5379,0.0761
c_ageGroup,-,-,-,-,-,-,-,-,-,-
4,5,0.04,0.9,-0.4441,0.5241,False,Very Small (0.04),2.78,0.9538,0.1349
4,6,-0.04,0.9,-0.5241,0.4441,False,Very Small (-0.04),2.82,1.0821,0.153
5,6,-0.08,0.9,-0.5641,0.4041,False,Very Small (-0.08),2.74,1.0264,0.1452
c_dem_genderCat,-,-,-,-,-,-,-,-,-,-
4,5,0.06,0.8191,-0.1896,0.3096,False,Very Small (0.11),1.54,0.5789,0.0819
4,6,0.0,0.9,-0.2496,0.2496,False,None (0.0),1.6,0.4949,0.07
5,6,-0.06,0.8191,-0.3096,0.1896,False,Very Small (-0.12),1.54,0.5035,0.0712
c_All_IndexAvg,-,-,-,-,-,-,-,-,-,-
4,5,-3.98,0.3068,-10.373,2.413,False,Small (-0.35),24.88,8.3217,1.1769
4,6,2.46,0.6236,-3.933,8.853,False,Very Small (0.18),20.9,13.873,1.9619
5,6,6.44,0.0479,0.047,12.833,True,Small (0.42),27.34,16.8821,2.3875
c_Title_IndexAvg,-,-,-,-,-,-,-,-,-,-
4,5,-4.08,0.2182,-9.8453,1.6853,False,Small (-0.4),29.04,6.8182,0.9642
4,6,-3.74,0.2775,-9.5053,2.0253,False,Small (-0.31),24.96,12.7214,1.7991
5,6,0.34,0.9,-5.4253,6.1053,False,Very Small (0.02),25.3,15.3719,2.1739
c_Image_IndexAvg,-,-,-,-,-,-,-,-,-,-
4,5,-2.2,0.649,-8.2111,3.8111,False,Very Small (-0.19),27.74,8.7617,1.2391
4,6,4.08,0.2461,-1.9311,10.0911,False,Small (0.34),25.54,14.0411,1.9857
5,6,6.28,0.0383,0.2689,12.2911,True,Small (0.44),31.82,14.4712,2.0465
c_Plot_IndexAvg,-,-,-,-,-,-,-,-,-,-
4,5,1.08,0.8922,-4.7157,6.8757,False,Very Small (0.09),24.26,7.9535,1.1248
4,6,-0.26,0.9,-6.0557,5.5357,False,Very Small (-0.02),25.34,14.0023,1.9802
5,6,-1.34,0.8315,-7.1357,4.4557,False,Very Small (-0.1),24.0,13.784,1.9494
c_Genre_IndexAvg,-,-,-,-,-,-,-,-,-,-
4,5,0.14,0.9,-5.7146,5.9946,False,Very Small (0.01),22.08,5.9551,0.8422
4,6,0.7,0.9,-5.1546,6.5546,False,Very Small (0.06),22.22,13.743,1.9435
5,6,0.56,0.9,-5.2946,6.4146,False,Very Small (0.04),22.78,15.3028,2.1641
c_Stars_IndexAvg,-,-,-,-,-,-,-,-,-,-
4,5,-1.22,0.8577,-6.9801,4.5401,False,Very Small (-0.11),24.72,7.0307,0.9943
4,6,0.22,0.9,-5.5401,5.9801,False,Very Small (0.02),23.5,14.7361,2.084
5,6,1.44,0.806,-4.3201,7.2001,False,Very Small (0.1),24.94,13.3132,1.8828
c_Director_IndexAvg,-,-,-,-,-,-,-,-,-,-
4,5,-1.84,0.7422,-8.0315,4.3515,False,Very Small (-0.15),23.68,9.1394,1.2925
4,6,-1.92,0.7247,-8.1115,4.2715,False,Very Small (-0.16),21.84,14.9617,2.1159
5,6,-0.08,0.9,-6.2715,6.1115,False,None (-0.01),21.76,14.3322,2.0269
c_Date_IndexAvg,-,-,-,-,-,-,-,-,-,-
4,5,3.76,0.2569,-1.8671,9.3871,False,Small (0.34),27.38,6.2593,0.8852
4,6,1.4,0.8077,-4.2271,7.0271,False,Very Small (0.13),31.14,14.4236,2.0398
5,6,-2.36,0.5768,-7.9871,3.2671,False,Very Small (-0.17),28.78,13.2792,1.878
c_Tag_IndexAvg,-,-,-,-,-,-,-,-,-,-
4,5,2.16,0.6799,-4.1339,8.4539,False,Very Small (0.17),19.54,8.8438,1.2507
4,6,-2.8,0.5423,-9.0939,3.4939,False,Small (-0.24),21.7,16.2396,2.2966
5,6,-4.96,0.1524,-11.2539,1.3339,False,Small (-0.33),16.74,13.7095,1.9388
c_SVD_IndexAvg,-,-,-,-,-,-,-,-,-,-
4,5,2.04,0.7256,-4.5523,8.6323,False,Very Small (0.16),21.98,7.8571,1.1112
4,6,-0.92,0.9,-7.5123,5.6723,False,Very Small (-0.07),24.02,16.436,2.3244
5,6,-2.96,0.5367,-9.5523,3.6323,False,Very Small (-0.18),21.06,15.7938,2.2336
c_Baseline_IndexAvg,-,-,-,-,-,-,-,-,-,-
4,5,4.14,0.1728,-1.3009,9.5809,False,Small (0.4),29.7,8.3818,1.1854
