1,,sum_sq,df,mean_sq,F,PR(>F),eta_sq,omega_sq,Normality,Homogeneity
1,,125.3441006,259,0.483954056,,,,,0.0****,0.8
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_ageGroup,2.503542346,2,1.251771173,1.192143414,0.305230034,0.009121768,0.001464595,0.0****,1
0,,,,,,,,,,
1,,271.9544729,259,1.05001727,,,,,0.0****,1
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_dem_genderCat,0.899376726,2,0.449688363,1.664903321,0.191227426,0.012693207,0.005049966,0.0****,0.62
0,,,,,,,,,,
1,,69.95558511,259,0.270098784,,,,,0.0****,0.62
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_All_IndexAvg,1248.391971,2,624.1959854,3.923955833,0.020948661,0.02940968,0.021832956,0.0****,0.0****
0,,,,,,,,,,
1,,41199.94391,259,159.0731425,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Title_IndexAvg,454.4050154,2,227.2025077,1.57853589,0.208254871,0.012042673,0.004396887,0.02****,0.0****
0,,,,,,,,,,
1,,37278.49956,259,143.9324308,,,,,0.02****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Image_IndexAvg,16.02030431,2,8.010152155,0.048543616,0.952624454,0.000374714,-0.007316163,0.0****,0.0****
0,,,,,,,,,,
1,,42737.43008,259,165.0093825,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Plot_IndexAvg,122.6127523,2,61.30637615,0.413899788,0.661503666,0.003185955,-0.004494154,0.0****,0.0****
0,,,,,,,,,,
1,,38362.79183,259,148.1188874,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Genre_IndexAvg,189.9183252,2,94.95916261,0.574383304,0.563767554,0.004415806,-0.003259573,0.0****,0.0****
0,,,,,,,,,,
1,,42818.83358,259,165.3236818,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Stars_IndexAvg,138.1583586,2,69.07917928,0.449103878,0.63869584,0.003455998,-0.004223073,0.01****,0.0****
0,,,,,,,,,,
1,,39838.23859,259,153.815593,,,,,0.01****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Director_IndexAvg,255.1238839,2,127.561942,0.753883562,0.471565307,0.005787801,-0.001882288,0.0****,0.0****
0,,,,,,,,,,
1,,43824.4639,259,169.2064243,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Date_IndexAvg,619.9785209,2,309.9892605,1.935538458,0.146428727,0.014726142,0.007090875,0.0****,0.0****
0,,,,,,,,,,
1,,41480.55965,259,160.156601,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Tag_IndexAvg,224.0718255,2,112.0359127,0.562743198,0.570339189,0.004326706,-0.003349017,0.0****,0.0****
0,,,,,,,,,,
1,,51564.01978,259,199.0888795,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_SVD_IndexAvg,462.4376519,2,231.2188259,1.300820166,0.274081367,0.009945046,0.002291076,0.0****,0.0****
0,,,,,,,,,,
1,,46036.86006,259,177.7484944,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Baseline_IndexAvg,21.45113895,2,10.72556947,0.065911383,0.936229523,0.000508709,-0.007181656,0.0****,0.0****
0,,,,,,,,,,
1,,42146.32367,259,162.7271184,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_All_Picked,0.740008047,2,0.370004024,0.422958848,0.655557253,0.003255459,-0.004424383,0.0****,0.03****
0,,,,,,,,,,
1,,226.5729691,259,0.874799108,,,,,0.0****,0.03****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Title_Picked,0.450562922,2,0.225281461,0.432696573,0.649225414,0.003330159,-0.004349396,0.0****,0.11
0,,,,,,,,,,
1,,134.847147,259,0.520645355,,,,,0.0****,0.11
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Image_Picked,1.141239277,2,0.570619638,1.6309121,0.197754734,0.012437282,0.004793039,0.0****,0.02****
0,,,,,,,,,,
1,,90.61830271,259,0.349877617,,,,,0.0****,0.02****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Plot_Picked,0.435870295,2,0.217935148,0.423187977,0.655407552,0.003257217,-0.004422619,0.0****,0.19
0,,,,,,,,,,
1,,133.3809236,259,0.514984261,,,,,0.0****,0.19
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Genre_Picked,1.387286459,2,0.693643229,1.127554705,0.325408419,0.008631829,0.000972753,0.0****,0.57
0,,,,,,,,,,
1,,159.3302708,259,0.615174791,,,,,0.0****,0.57
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Stars_Picked,3.852176385,2,1.926088192,3.608145636,0.028473117,0.027106873,0.019520858,0.0****,0.0****
0,,,,,,,,,,
1,,138.2585106,259,0.533816643,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Director_Picked,3.262697484,2,1.631348742,1.85759638,0.158120259,0.014141522,0.006503959,0.0****,0.0****
0,,,,,,,,,,
1,,227.4548598,259,0.878204092,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Date_Picked,0.119265212,2,0.059632606,0.146054483,0.864181742,0.001126563,-0.00656144,0.0****,0.66
0,,,,,,,,,,
1,,105.747147,259,0.408290143,,,,,0.0****,0.66
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Tag_Picked,2.183431645,2,1.091715822,0.675428672,0.509832332,0.005188603,-0.002483798,0.0****,0.0****
0,,,,,,,,,,
1,,418.6295455,259,1.616330291,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_SVD_Picked,4.686442999,2,2.3432215,1.792304119,0.168635707,0.01365125,0.006011763,0.0****,0.0****
0,,,,,,,,,,
1,,338.6112669,259,1.307379409,,,,,0.0****,0.0****
2,,,,,,,,,,
3,,-,-,-,-,-,-,-,-,-
4,,,,,,,,,,
5,c_Baseline_Picked,0.43310515,2,0.216552575,0.661972977,0.516703124,0.005085763,-0.002587034,0.0****,0.11
0,,,,,,,,,,
1,,84.72720019,259,0.327132047,,,,,0.0****,0.11
