group1,group2,meandiff,p-adj,lower,upper,reject,Cohen's d,Mean,SD,SE
,,,,,,,,,,
2,3,-0.26,0.5764,-0.8795,0.3595,FALSE,Very Small (-0.2),2.32,1.3468,0.1905
,,,,,,,,,,
q_proc_decidDiff,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,0.18,0.7553,-0.4461,0.8061,FALSE,Very Small (0.14),2.64,1.3516,0.1912
,,,,,,,,,,
1,3,0.16,0.7985,-0.4661,0.7861,FALSE,Very Small (0.12),2.82,1.3045,0.1845
,,,,,,,,,,
2,3,-0.02,0.9,-0.6461,0.6061,FALSE,Very Small (-0.02),2.8,1.3093,0.1852
,,,,,,,,,,
q_proc_recImprove,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.24,0.5367,-0.7745,0.2945,FALSE,Small (-0.2),3.52,1.111,0.1571
,,,,,,,,,,
1,3,-0.36,0.2514,-0.8945,0.1745,FALSE,Small (-0.34),3.28,1.2461,0.1762
,,,,,,,,,,
2,3,-0.12,0.8405,-0.6545,0.4145,FALSE,Very Small (-0.11),3.16,1.0174,0.1439
,,,,,,,,,,
q_proc_control,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.48,0.1198,-1.0528,0.0928,FALSE,Small (-0.39),3.7,1.0546,0.1491
,,,,,,,,,,
1,3,-0.3,0.4334,-0.8728,0.2728,FALSE,Small (-0.27),3.22,1.3746,0.1944
,,,,,,,,,,
2,3,0.18,0.7191,-0.3928,0.7528,FALSE,Very Small (0.14),3.4,1.178,0.1666
,,,,,,,,,,
q_proc_sorting,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.52,0.0503,-1.0405,0.0005,FALSE,Small (-0.5),3.84,0.9553,0.1351
,,,,,,,,,,
1,3,-0.44,0.1155,-0.9605,0.0805,FALSE,Small (-0.41),3.32,1.1328,0.1602
,,,,,,,,,,
2,3,0.08,0.9,-0.4405,0.6005,FALSE,Very Small (0.07),3.4,1.1952,0.169
,,,,,,,,,,
q_dem_movieUsage,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,0.28,0.726,-0.6257,1.1857,FALSE,Very Small (0.15),2.48,1.9192,0.2714
,,,,,,,,,,
1,3,0.24,0.7857,-0.6657,1.1457,FALSE,Very Small (0.12),2.76,1.7562,0.2484
,,,,,,,,,,
2,3,-0.04,0.9,-0.9457,0.8657,FALSE,Very Small (-0.02),2.72,2.0508,0.29
,,,,,,,,,,
q_dem_onlineUsage,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,-0.12,0.6216,-0.4307,0.1907,FALSE,Small (-0.22),1.66,0.5194,0.0735
,,,,,,,,,,
1,3,0.08,0.7959,-0.2307,0.3907,FALSE,Very Small (0.12),1.54,0.5789,0.0819
,,,,,,,,,,
2,3,0.2,0.2829,-0.1107,0.5107,FALSE,Small (0.28),1.74,0.8283,0.1171
,,,,,,,,,,
c_ageGroup,-,-,-,-,-,-,-,-,-,-
,,,,,,,,,,
1,2,0.2,0.58,-0.2796,0.6796,FALSE,Very Small (0.19),2.78,1.0554,0.1493
,,,,,,,,,,
1,3,-0.12,0.8058,-0.5996,0.3596,FALSE,Very Small (-0.12),2.98,1.0593,0.1498
,,,,,,,,,,
