1,group1,group2,meandiff,p-adj,lower,upper,reject,Cohen's d,Mean,SD,SE
1,2,4,-0.0613,0.9,-0.7075,0.585,FALSE,Very Small (-0.03),2.0282,1.8858,0.2045
0,,,,,,,,,,,
1,3,4,-0.4044,0.3818,-1.1214,0.3127,FALSE,Small (-0.23),1.6239,1.6509,0.2017
0,,,,,,,,,,,
1,c_preferecControl,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,0.0512,0.8953,-0.226,0.3284,FALSE,Very Small (0.06),0.5135,0.8205,0.0674
0,,,,,,,,,,,
1,2,4,0.2477,0.1279,-0.0522,0.5476,FALSE,Small (0.28),0.5647,0.8653,0.0939
0,,,,,,,,,,,
1,3,4,0.1965,0.3477,-0.1363,0.5292,FALSE,Small (0.22),0.7612,0.9549,0.1167
0,,,,,,,,,,,
1,q_outc_satisfactionScore1,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,0.0758,0.8401,-0.2603,0.4119,FALSE,Very Small (0.07),3.9595,1.049,0.0862
0,,,,,,,,,,,
1,2,4,-0.0192,0.9,-0.3828,0.3445,FALSE,Very Small (-0.02),4.0353,1.096,0.1189
0,,,,,,,,,,,
1,3,4,-0.095,0.8269,-0.4984,0.3085,FALSE,Very Small (-0.09),3.9403,0.9829,0.1201
0,,,,,,,,,,,
1,q_outc_satisfactionScore2,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,0.027,0.9,-0.3059,0.36,FALSE,Very Small (0.03),3.973,1.0232,0.0841
0,,,,,,,,,,,
1,2,4,-0.167,0.5195,-0.5273,0.1933,FALSE,Very Small (-0.16),4,1.069,0.116
0,,,,,,,,,,,
1,3,4,-0.194,0.4896,-0.5937,0.2057,FALSE,Very Small (-0.18),3.806,1.0334,0.1262
0,,,,,,,,,,,
1,q_outc_satisfactionScore3,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.0398,0.9,-0.3941,0.3144,FALSE,Very Small (-0.03),3.8986,1.061,0.0872
0,,,,,,,,,,,
1,2,4,0.1461,0.6304,-0.2372,0.5294,FALSE,Very Small (0.14),3.8588,1.2455,0.1351
0,,,,,,,,,,,
1,3,4,0.186,0.5549,-0.2393,0.6112,FALSE,Very Small (0.16),4.0448,1.0065,0.123
0,,,,,,,,,,,
1,q_outc_satisfactionScore4,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,-0.0939,0.7812,-0.4424,0.2546,FALSE,Very Small (-0.09),3.9527,0.9571,0.0787
0,,,,,,,,,,,
1,2,4,-0.2512,0.2609,-0.6283,0.1259,FALSE,Small (-0.23),3.8588,1.2165,0.1319
0,,,,,,,,,,,
1,3,4,-0.1573,0.6374,-0.5757,0.261,FALSE,Very Small (-0.13),3.7015,1.1808,0.1443
0,,,,,,,,,,,
1,q_outc_satisfactionScore5,-,-,-,-,-,-,-,-,-,-
0,,,,,,,,,,,
1,2,3,0.1041,0.7111,-0.2198,0.4281,FALSE,Very Small (0.11),4.0135,0.9034,0.0743
0,,,,,,,,,,,
